#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
11;U00096.2:267320-268184(-);861;Uncharacterized protein YkfA;99.65% [861/864];GO:0005525 - GTP binding;;Uniprot (P75678)|Interpro (P75678);KEGG (eco:b0253)|KEGG GM (eco:b0253);Interpro (IPR006073)|Interpro (IPR027417)|Pfam (PF01926);NCBI (991975593)|EMBL (AP009048);
12;U00096.2:281480-282410(+);909;Dihydrodipicolinate synthase;97.74% [909/930];GO:0005737 - cytoplasm|GO:0008840 - 4-hydroxy-tetrahydrodipicolinate synthase;;Uniprot (F5RWE9)|Interpro (F5RWE9);;Interpro (IPR013785)|Interpro (IPR002220)|Interpro (IPR020625)|Interpro (IPR020624)|Pfam (PF00701);NCBI (333390401)|EMBL (AFHR01000029);
13;U00096.2:296429-296478(+);Blast running;
14;U00096.2:302214-302829(+);612;Inner membrane protein YagU;99.51% [612/615];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P0AAA2)|Interpro (P0AAA2);KEGG (ecs:ECs0317)|KEGG GM (ecs:ECs0317);Interpro (IPR009898)|Pfam (PF07274);NCBI (1233692210)|EMBL (BA000007);
15;U00096.2:311737-312001(-);261;50S ribosomal protein L31 type B 1;98.86% [261/264];GO:0003735 - structural constituent of ribosome|GO:0005840 - ribosome|GO:0006412 - translation;COG0523|Ribosome LSU bacterial;Uniprot (P0A7N3)|Interpro (P0A7N3);KEGG (ecs:ECs0327)|KEGG GM (ecs:ECs0327);Interpro (IPR034704)|Interpro (IPR002150)|Interpro (IPR027493)|Interpro (IPR042105)|Pfam (PF01197);NCBI (1233692221)|EMBL (BA000007);
16;U00096.2:312364-312466(-);99;Uncharacterized membrane protein YkgR;97.06% [99/102];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane;;Uniprot (C1P5Z8)|Interpro (C1P5Z8);KEGG (eco:b4671)|KEGG GM (eco:b4671);;NCBI (991975636)|EMBL (AP009048);
17;U00096.2:347905-348796(+);888;2-methylisocitrate lyase;99.66% [888/891];GO:0000287 - magnesium ion binding|GO:0019629 - propionate catabolic process 2-methylcitrate cycle|GO:0046421 - methylisocitrate lyase activity;Propionate-CoA to Succinate Module|Methylcitrate cycle;Uniprot (P77541)|Interpro (P77541);KEGG (eco:b0331)|KEGG GM (eco:b0331)|KEGG EC (4.1.3.30);Interpro (IPR039556)|Interpro (IPR018523)|Interpro (IPR012695)|Interpro (IPR015813)|Interpro (IPR040442);NCBI (991975669)|EMBL (AP009048);
18;U00096.2:365651-366734(-);1080;Lactose operon repressor;99.72% [1080/1083];GO:0003677 - DNA binding|GO:0006355 - regulation of transcription DNA-templated;;Uniprot (A0A0E9AVZ8)|Interpro (A0A0E9AVZ8);;Interpro (IPR000843)|Interpro (IPR010982)|Interpro (IPR028082)|Pfam (PF00356);EMBL (CVNB01000046);
19;U00096.2:406651-407329(+);675;Protein AroM;99.56% [675/678];;CBSS-562.2.peg.5158 SK3 including;Uniprot (P0AE28)|Interpro (P0AE28);KEGG (eco:b0390)|KEGG GM (eco:b0390);Interpro (IPR010843)|Pfam (PF07302);NCBI (991970376)|EMBL (X76979);
20;U00096.2:424234-425305(+);1068;S-adenosylmethionine:tRNA ribosyltransferase-isomerase;99.72% [1068/1071];GO:0005737 - cytoplasm|GO:0008616 - queuosine biosynthetic process|GO:0016740 - transferase activity|GO:0016853 - isomerase activity;tRNAmodification position 34|Queuosine-Archaeosine Biosynthesis|CBSS-211586.1.peg.2832|tRNA modification Bacteria;Uniprot (A7ZIF7)|Interpro (A7ZIF7);KEGG (ecw:EcE24377A_0435)|KEGG GM (ecw:EcE24377A_0435)|KEGG EC (2.4.99.17);Interpro (IPR003699)|Interpro (IPR042118)|Interpro (IPR042119)|Interpro (IPR036100)|Pfam (PF02547);NCBI (752463430)|EMBL (CP000800);
21;U00096.2:433870-434341(+);468;67-dimethyl-8-ribityllumazine synthase;99.36% [468/471];GO:0000906 - 67-dimethyl-8-ribityllumazine synthase activity|GO:0009231 - riboflavin biosynthetic process|GO:0009349 - riboflavin synthase complex;;Uniprot (A8AK39)|Interpro (A8AK39);KEGG (cko:CKO_02746)|KEGG GM (cko:CKO_02746)|KEGG EC (2.5.1.78);Interpro (IPR034964)|Interpro (IPR002180)|Interpro (IPR036467)|Pfam (PF00885);NCBI (446943905)|EMBL (CP000822);
22;U00096.2:440772-442221(+);1446;tRNA sulfurtransferase;99.79% [1446/1449];GO:0000049 - tRNA binding|GO:0004810 - tRNA adenylyltransferase activity|GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0009228 - thiamine biosynthetic process|GO:0009229 - thiamine diphosphate biosynthetic process|GO:0016783 - sulfurtransferase activity|GO:0034227 - tRNA thio-modification|GO:0052837 - thiazole biosynthetic process;;Uniprot (C4ZTI0)|Interpro (C4ZTI0);KEGG (ebw:BWG_0305)|KEGG GM (ebw:BWG_0305)|KEGG EC (2.8.1.4);Interpro (IPR001763)|Interpro (IPR036873)|Interpro (IPR014729)|Interpro (IPR026340)|Interpro (IPR020536)|Interpro (IPR004114)|Interpro (IPR003720)|Pfam (PF02568)|Pfam (PF02926);NCBI (446591316)|EMBL (CP001396);
23;U00096.2:464835-466536(-);1698;Uncharacterized protein YbaE;99.82% [1698/1701];GO:0030288 - outer membrane-bounded periplasmic space|GO:1904680 - peptide transmembrane transporter activity;ABC transporter oligopeptide (TC 3.A.1.5.1)|Sex pheromones in Enterococcus faecalis and other Firmicutes;Uniprot (P46890)|Interpro (P46890);KEGG (eco:b0445)|KEGG GM (eco:b0445);Interpro (IPR039424)|Interpro (IPR000914)|Interpro (IPR025370)|Pfam (PF00496)|Pfam (PF12793);NCBI (991975772)|EMBL (Z54355);
24;U00096.2:483649-484843(-);1191;Multidrug efflux pump subunit AcrA;99.75% [1191/1194];GO:0005215 - transporter activity|GO:0005886 - plasma membrane|GO:0046677 - response to antibiotic|GO:0055085 - transmembrane transport;Multidrug Resistance Efflux Pumps;Uniprot (P0AE07)|Interpro (P0AE07);KEGG (ecs:ECs0516)|KEGG GM (ecs:ECs0516);Interpro (IPR032317)|Interpro (IPR006143)|Pfam (PF00529)|Pfam (PF16576);NCBI (1233692401)|EMBL (BA000007);
25;U00096.2:506509-507304(-);792;Uncharacterized protein YbaP;99.62% [792/795];;;Uniprot (P77301)|Interpro (P77301);KEGG (eco:b0482)|KEGG GM (eco:b0482);Interpro (IPR002816)|Pfam (PF01963);NCBI (991975808)|EMBL (AP009048);
26;U00096.2:515142-515820(+);675;Probable iron export ATP-binding protein FetA;99.56% [675/678];GO:0005524 - ATP binding|GO:0005886 - plasma membrane|GO:0006811 - ion transport|GO:0006879 - cellular iron ion homeostasis|GO:0016887 - ATPase activity|GO:0043190 - ATP-binding cassette (ABC) transporter complex;Broadly distributed proteins not in subsystems;Uniprot (P77279)|Interpro (P77279);KEGG (eco:b0490)|KEGG GM (eco:b0490);Interpro (IPR003593)|Interpro (IPR003439)|Interpro (IPR017871)|Interpro (IPR027417)|Pfam (PF00005);NCBI (991975816)|EMBL (AP009048);
27;U00096.2:516648-517503(-);852;Chaperedoxin;99.65% [852/855];GO:0005829 - cytosol|GO:0015035 - protein disulfide oxidoreductase activity|GO:0045454 - cell redox homeostasis|GO:0061077 - chaperone-mediated protein folding;COG3760;Uniprot (P77395)|Interpro (P77395);KEGG (eco:b0492)|KEGG GM (eco:b0492);Interpro (IPR036249)|Interpro (IPR013766)|Interpro (IPR011990)|Pfam (PF00085);NCBI (991975818)|EMBL (AP009048);
28;U00096.2:531674-532157(+);480;Ureidoglycolate lyase;99.38% [480/483];GO:0000256 - allantoin catabolic process|GO:0004848 - ureidoglycolate hydrolase activity|GO:0006145 - purine nucleobase catabolic process|GO:0050385 - ureidoglycolate lyase activity;;Uniprot (C4ZUV5)|Interpro (C4ZUV5);KEGG (ebw:BWG_0382)|KEGG GM (ebw:BWG_0382)|KEGG EC (4.3.2.3);Interpro (IPR011051)|Interpro (IPR007247)|Interpro (IPR023525)|Interpro (IPR024060)|Pfam (PF04115);NCBI (446699031)|EMBL (CP001396);
29;U00096.2:570115-570667(+);549;UPF0098 protein YbcL;99.46% [549/552];GO:0004857 - enzyme inhibitor activity|GO:0030288 - outer membrane-bounded periplasmic space;;Uniprot (P77368)|Interpro (P77368);KEGG (eco:b0545)|KEGG GM (eco:b0545);Interpro (IPR008914)|Interpro (IPR036610)|Interpro (IPR005247)|Pfam (PF01161);NCBI (991975865)|EMBL (AP009048);
30;U00096.2:590163-592401(-);2232;Bacteriophage N4 adsorption protein B;99.73% [2232/2238];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P0AFA6)|Interpro (P0AFA6);KEGG (ecs:ECs0601)|KEGG GM (ecs:ECs0601);Interpro (IPR001173)|Interpro (IPR037257)|Interpro (IPR007831)|Interpro (IPR029044)|Pfam (PF13632)|Pfam (PF05157);NCBI (1159367307)|EMBL (BA000007);
31;U00096.2:642779-643190(-);408;Regulator of nucleoside diphosphate kinase;99.27% [408/411];GO:0003677 - DNA binding|GO:0032784 - regulation of DNA-templated transcription elongation|GO:0070063 - RNA polymerase binding;Transcription factors bacterial;Uniprot (P0AFW6)|Interpro (P0AFW6);KEGG (ecs:ECs0649)|KEGG GM (ecs:ECs0649);Interpro (IPR036953)|Interpro (IPR028625)|Interpro (IPR029462)|Interpro (IPR001437)|Interpro (IPR023459)|Pfam (PF01272)|Pfam (PF14760);NCBI (1233692534)|EMBL (BA000007);
32;U00096.2:661601-661865(-);261;UPF0250 protein YbeD;98.86% [261/264];;Lipoic acid metabolism;Uniprot (A7ZJ19)|Interpro (A7ZJ19);KEGG (ecw:EcE24377A_0656)|KEGG GM (ecw:EcE24377A_0656);Interpro (IPR007454)|Interpro (IPR027471)|Pfam (PF04359);NCBI (752464338)|EMBL (CP000800);
33;U00096.2:667941-668259(-);312;Ribosomal silencing factor RsfS;98.11% [312/318];GO:0005737 - cytoplasm|GO:0017148 - negative regulation of translation|GO:0042256 - mature ribosome assembly|GO:0090071 - negative regulation of ribosome biogenesis;At5g11840 At5g67370|At4g10620 At3g57180 At3g47450|tRNA modification Bacteria|NAD and NADP cofactor biosynthesis global|Iojap;Uniprot (P0AAT7)|Interpro (P0AAT7);KEGG (ecc:c0728)|KEGG GM (ecc:c0728);Interpro (IPR004394);NCBI (447084408)|EMBL (AE014075);
34;U00096.2:715169-715820(-);645;Putative uncharacterized protein YbfG;99.08% [645/651];;;Uniprot (P37003)|Interpro (P37003);KEGG (ecj:JW5095)|KEGG GM (ecj:JW5095);Interpro (IPR021239)|Pfam (PF10946);NCBI (85674741)|EMBL (AP009048);
35;U00096.2:751451-752018(-);564;Uncharacterized fimbrial-like protein YbgD;99.47% [564/567];GO:0007155 - cell adhesion|GO:0009289 - pilus|GO:0043709 - cell adhesion involved in single-species biofilm formation|GO:0043711 - pilus organization;;Uniprot (P37909)|Interpro (P37909);KEGG (eco:b0719)|KEGG GM (eco:b0719);Interpro (IPR000259)|Interpro (IPR036937)|Interpro (IPR008966)|Pfam (PF00419);NCBI (991976032)|EMBL (AP009048);
36;U00096.2:765206-767183(+);1974;PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component;99.85% [1974/1977];GO:0005351 - carbohydrate:proton symporter activity|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0016301 - kinase activity|GO:0022877 - protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity|GO:0051476 - mannosylglycerate transport|GO:0090563 - protein-phosphocysteine-sugar phosphotransferase activity|GO:0090581 - protein-phosphocysteine-mannosylglycerate-phosphotransferase system transporter activity;;Uniprot (P54745)|Interpro (P54745);KEGG (eco:b0731)|KEGG GM (eco:b0731)|KEGG EC (2.7.1.195);Interpro (IPR016152)|Interpro (IPR002178)|Interpro (IPR036095)|Interpro (IPR013011)|Interpro (IPR003501)|Interpro (IPR003352)|Interpro (IPR013014)|Interpro (IPR004715)|Interpro (IPR003353)|Interpro (IPR006327)|Pfam (PF00359)|Pfam (PF02378)|Pfam (PF02302);NCBI (939732571)|EMBL (AP009048);
37;U00096.2:796835-797654(-);816;Pyridoxal phosphate phosphatase YbhA;99.63% [816/819];GO:0000287 - magnesium ion binding|GO:0005829 - cytosol|GO:0016773 - phosphotransferase activity alcohol group as acceptor|GO:0016791 - phosphatase activity|GO:0033883 - pyridoxal phosphatase activity|GO:0050308 - sugar-phosphatase activity;;Uniprot (P21829)|Interpro (P21829);KEGG (eco:b0766)|KEGG GM (eco:b0766);Interpro (IPR000150)|Interpro (IPR036412)|Interpro (IPR006379)|Interpro (IPR023214);NCBI (991976077)|EMBL (AP009048);
38;U00096.2:823852-824263(+);408;Inner membrane protein YbhQ;99.27% [408/411];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P0AAW7)|Interpro (P0AAW7);KEGG (ecs:ECs0869)|KEGG GM (ecs:ECs0869);Interpro (IPR021303)|Pfam (PF11076);NCBI (1233692748)|EMBL (BA000007);
39;U00096.2:932446-936436(+);3984;DNA translocase FtsK;99.85% [3984/3990];GO:0000920 - septum digestion after cytokinesis|GO:0003677 - DNA binding|GO:0005524 - ATP binding|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0006970 - response to osmotic stress|GO:0007049 - cell cycle|GO:0007059 - chromosome segregation|GO:0009651 - response to salt stress|GO:0015616 - DNA translocase activity|GO:0016020 - membrane|GO:0016887 - ATPase activity|GO:0033676 - double-stranded DNA helicase activity|GO:0042802 - identical protein binding|GO:0043085 - positive regulation of catalytic activity|GO:0043565 - sequence-specific DNA binding|GO:0045893 - positive regulation of transcription DNA-templated|GO:0051301 - cell division|GO:0071236 - cellular response to antibiotic;Unspecified monosaccharide transport cluster|Bacterial Cell Division|Bacterial RNA-metabolizing Zn-dependent hydrolases|At5g63420|Bacterial Cytoskeleton;Uniprot (P46889)|Interpro (P46889);KEGG (eco:b0890)|KEGG GM (eco:b0890);Interpro (IPR025199)|Interpro (IPR041027)|Interpro (IPR002543)|Interpro (IPR018541)|Interpro (IPR027417)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF13491)|Pfam (PF17854)|Pfam (PF09397)|Pfam (PF01580);NCBI (991976358)|EMBL (AP009048);
40;U00096.2:944153-944780(-);624;Probable hydrolase YcaC;99.52% [624/627];GO:0005829 - cytosol|GO:0016020 - membrane|GO:0016787 - hydrolase activity|GO:0016829 - lyase activity|GO:0042802 - identical protein binding;NAD and NADP cofactor biosynthesis global;Uniprot (P21367)|Interpro (P21367);KEGG (eco:b0897)|KEGG GM (eco:b0897);Interpro (IPR000868)|Interpro (IPR036380)|Pfam (PF00857);NCBI (991976365)|EMBL (AP009048);
41;U00096.2:946451-947882(+);1428;Inner membrane transporter YcaM;99.79% [1428/1431];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane|GO:0022857 - transmembrane transporter activity;;Uniprot (P75835)|Interpro (P75835);KEGG (eco:b0899)|KEGG GM (eco:b0899);Interpro (IPR002293)|Pfam (PF13520);NCBI (991976367)|EMBL (AP009048);
42;U00096.2:972759-973545(+);783;tRNA 5-carboxymethoxyuridine methyltransferase;99.62% [783/786];GO:0002098 - tRNA wobble uridine modification|GO:0030488 - tRNA methylation|GO:0097697 - tRNA 5-carboxymethoxyuridine methyltransferase activity;MukBEF Chromosome Condensation;Uniprot (P36566)|Interpro (P36566);KEGG (eco:b0921)|KEGG GM (eco:b0921);Interpro (IPR033664)|Interpro (IPR025714)|Interpro (IPR029063)|Pfam (PF13847);NCBI (991976389)|EMBL (AP009048);
43;U00096.2:1023124-1023571(-);444;Inner membrane protein YccF;99.33% [444/447];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;CBSS-83333.1.peg.946;Uniprot (P0AB12)|Interpro (P0AB12);KEGG (eco:b0961)|KEGG GM (eco:b0961);Interpro (IPR031308)|Interpro (IPR005185)|Pfam (PF03733);NCBI (991976425)|EMBL (J04726);
44;U00096.2:1027626-1027944(-);309;Uncharacterized protein;97.17% [309/318];;;Uniprot (A0A0H2V5S5)|Interpro (A0A0H2V5S5);KEGG (ecc:c1103)|KEGG GM (ecc:c1103);;NCBI (26107388)|EMBL (AE014075);
45;U00096.2:1055483-1056512(+);1026;Periplasmic protein TorT;99.71% [1026/1029];GO:0042597 - periplasmic space;trimethylamine N-oxide (TMAO) reductase;Uniprot (P38683)|Interpro (P38683);KEGG (eco:b0994)|KEGG GM (eco:b0994);Interpro (IPR001761)|Interpro (IPR028082)|Interpro (IPR014301)|Pfam (PF00532);NCBI (991976459)|EMBL (AP009048);
46;U00096.2:1073464-1074103(+);636;HTH-type transcriptional regulator RutR;99.53% [636/639];GO:0003677 - DNA binding|GO:0045892 - negative regulation of transcription DNA-templated|GO:0045893 - positive regulation of transcription DNA-templated;Pyrimidine utilization;Uniprot (P0ACU3)|Interpro (P0ACU3);KEGG (ecc:c1150)|KEGG GM (ecc:c1150);Interpro (IPR009057)|Interpro (IPR001647)|Interpro (IPR036271)|Interpro (IPR019915)|Interpro (IPR013573)|Pfam (PF08362)|Pfam (PF00440);NCBI (446113846)|EMBL (AE014075);
47;U00096.2:1196755-1197460(-);699;Uncharacterized protein YmfE;99.15% [699/705];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P75968)|Interpro (P75968);KEGG (eco:b1138)|KEGG GM (eco:b1138);;NCBI (498414204)|EMBL (AP009048);
48;U00096.2:1232398-1233940(-);1539;Na(+)/H(+) antiporter NhaB;99.81% [1539/1542];GO:0005886 - plasma membrane|GO:0015385 - sodium:proton antiporter activity|GO:0016021 - integral component of membrane;ZZ gjo need homes;Uniprot (A7ZKV7)|Interpro (A7ZKV7);KEGG (ecw:EcE24377A_1331)|KEGG GM (ecw:EcE24377A_1331);Interpro (IPR004671)|Pfam (PF06450);NCBI (446328536)|EMBL (CP000800);
49;U00096.2:1257151-1257736(-);582;Peptidyl-tRNA hydrolase;99.49% [582/585];GO:0004045 - aminoacyl-tRNA hydrolase activity;;Uniprot (G7YYS5)|Interpro (G7YYS5);;Interpro (IPR001328)|Interpro (IPR018171)|Interpro (IPR036416)|Pfam (PF01195);NCBI (358257074)|EMBL (DF145349);
50;U00096.2:1268545-1268612(+);63;Uncharacterized protein;94.03% [63/67];;;Uniprot (W8ZI16)|Interpro (W8ZI16);KEGG (ecos:EC958_5162)|KEGG GM (ecos:EC958_5162);;NCBI (641683938)|EMBL (HG941718);
51;U00096.2:1286760-1286845(-);81;Uncharacterized protein;95.29% [81/85];;;Uniprot (B7N442)|Interpro (B7N442);KEGG (eum:ECUMN_1528)|KEGG GM (eum:ECUMN_1528);;NCBI (501621076)|EMBL (CU928163);
52;U00096.2:1297820-1298468(+);642;UPF0056 membrane protein YhcE;99.07% [642/648];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane;;Uniprot (P25743)|Interpro (P25743);KEGG (eco:b1242)|KEGG GM (eco:b1242);Interpro (IPR002771)|Pfam (PF01914);NCBI (991976678)|EMBL (AP009048);
53;U00096.2:1304844-1305174(-);327;UPF0263 protein YciU;99.09% [327/330];;Cardiolipin synthesis;Uniprot (A7ZL19)|Interpro (A7ZL19);KEGG (ecw:EcE24377A_1396)|KEGG GM (ecw:EcE24377A_1396);Interpro (IPR007376)|Interpro (IPR036763)|Pfam (PF04269);NCBI (752464029)|EMBL (CP000800);
54;U00096.2:1367712-1368027(+);312;Thiosulfate sulfurtransferase PspE;99.05% [312/315];GO:0004792 - thiosulfate sulfurtransferase activity|GO:0030288 - outer membrane-bounded periplasmic space|GO:0042597 - periplasmic space;Phage shock protein (psp) operon;Uniprot (P23857)|Interpro (P23857);KEGG (eco:b1308)|KEGG GM (eco:b1308);Interpro (IPR014323)|Interpro (IPR001763)|Interpro (IPR036873)|Pfam (PF00581);NCBI (991976746)|EMBL (AP009048);
55;U00096.2:1380986-1381985(-);996;Uncharacterized HTH-type transcriptional regulator YcjW;99.70% [996/999];GO:0003677 - DNA binding|GO:0006351 - transcription DNA-templated|GO:0006355 - regulation of transcription DNA-templated|GO:0006974 - cellular response to DNA damage stimulus;Maltose and Maltodextrin Utilization;Uniprot (P77615)|Interpro (P77615);KEGG (eco:b1320)|KEGG GM (eco:b1320);Interpro (IPR000843)|Interpro (IPR010982)|Interpro (IPR001761)|Interpro (IPR028082)|Pfam (PF00356)|Pfam (PF00532);NCBI (991976757)|EMBL (AP009048);
56;U00096.2:1382140-1383538(+);1395;Uncharacterized protein YcjX;99.79% [1395/1398];GO:0005524 - ATP binding;A conserved operon linked to TyrR and possibly involved in virulence;Uniprot (P76046)|Interpro (P76046);KEGG (eco:b1321)|KEGG GM (eco:b1321);Interpro (IPR007413)|Pfam (PF04317);NCBI (991976758)|EMBL (AP009048);
57;U00096.2:1433208-1433643(-);432;Universal stress protein F;99.31% [432/435];GO:0005524 - ATP binding|GO:0006979 - response to oxidative stress|GO:0007155 - cell adhesion;Universal stress protein family;Uniprot (P37903)|Interpro (P37903);KEGG (eco:b1376)|KEGG GM (eco:b1376);Interpro (IPR014729)|Interpro (IPR006015)|Interpro (IPR006016)|Pfam (PF00582);NCBI (991976809)|EMBL (AP009048);
